date,BCG,MSH,PVD,VND,KDC,BMC,ACB,HPG,MBB,ANV,MSN,TLG,VNG,FRT,JVC,HHV,DAH,BWE,MPC,DGC,DPM,GEG,RAL,TCB,NSC,GVR,PVS,VCB,FPT,VRE,BID,PVC,TPB,NVL,KBC,SLS,VHM,REE,HAH,HCM,NBB,VIB,VHC,LTG,CTG,GAS,PHR,PLX,VPB,VJC,CII,ITA,DPR,DMC,PXS,PC1,MWG,SBT,BCM,DVP,PNJ,POW,CLC,LAS,BVH,SSI,SCS,DBC,HDB,GEX,FCN,AAA,VIC,SKG,SAB,STB,VNM,BMP,DHG,DCM,KDH,EIB,SHB
2020-02-03,3440,21510,9470,3310.0,16810,9610,9300.0,11180,9290,14690,40490,31920,19450.0,9230,3710,9070.0,8150,18200,7820,7210.0,7220,17530.0,45640,21450,66070.0,9330.0,13370,57700,25440,30200,36930,4010,8150,31181,10950,30500.0,62820,23520,4290,12570,16551,5870.0,29350,12440,16790,60190,27040,43860,7970,125500,22450,2230,15750,61640.0,5600.0,8230,35080,14810,23030.0,24670,56800,9529,22160.0,5300,49470,8100,52450,6540.0,8650,13750,8580,8643,102032,9220,95680,10250,76290,28350,88710,4450,17350,12500,3530.0
2020-02-04,3490,20830,9250,3310.0,16450,9520,9540.0,11200,9650,14030,40490,31600,19200.0,9070,3690,10150.0,8290,17510,8039,7270.0,7480,17570.0,47250,21750,70550.0,9330.0,13460,58420,25590,29250,37550,4010,8250,30624,11180,30500.0,63190,23450,4290,12170,16427,5890.0,27990,12860,17960,59320,26320,43600,8270,129000,22400,2190,15420,60380.0,5900.0,7780,34790,14650,23780.0,24570,57620,9062,22160.0,5120,49560,8070,52050,6760.0,8830,13610,8570,8886,102032,9300,92980,10200,73960,28550,87330,4510,17350,12390,3690.0
2020-02-05,3520,21090,9470,3330.0,16270,9490,9460.0,11130,9650,14400,40490,32310,19050.0,9620,3560,10150.0,8350,17510,8420,7300.0,7390,17450.0,47820,21750,66010.0,9420.0,13800,57830,25690,28950,36930,3940,8290,30067,11100,30500.0,63410,23380,4290,12330,16468,5920.0,29350,12720,17730,59030,26680,44290,8520,127000,22350,2220,15590,57420.0,5860.0,7570,34830,14610,25690.0,24390,56730,9129,22160.0,5210,50530,8050,52490,6820.0,9100,13680,8220,9047,101766,9300,88850,10250,75090,28210,83430,4460,17370,12140,4010.0
2020-02-06,3710,21570,10110,3330.0,16490,9610,9870.0,11480,9950,15390,40410,31600,19100.0,10250,3500,10150.0,8500,17650,8310,7300.0,7580,17450.0,47510,22350,67800.0,9780.0,14490,58160,26480,30950,36720,4080,8410,29510,11100,30870.0,64000,23870,4290,12730,16924,6060.0,30880,12440,18530,62140,28550,44720,9000,127500,22170,2290,16120,55730.0,5880.0,7810,35310,14810,25220.0,24430,57550,9587,21840.0,5300,51960,8410,52270,7040.0,9580,13640,8430,9653,101677,9810,87020,10950,75720,28210,82920,4470,17480,12500,4120.0
2020-02-07,3540,21770,10040,3320.0,16630,9680,9790.0,11090,9770,16120,40410,31120,19100.0,10390,3400,11230.0,8500,17830,8460,7320.0,7620,17450.0,47320,22150,67800.0,9780.0,14050,58550,26330,32000,35690,4150,8180,30123,10990,30950.0,64150,23790,4350,12670,17007,5990.0,31150,12510,17960,62220,30530,44540,8940,131200,22030,2250,16000,55730.0,5800.0,7970,35040,14810,25590.0,24430,56660,9453,21840.0,5300,53210,8410,52050,7040.0,9600,13610,8400,9896,101677,9770,89310,11150,77630,27880,84210,4550,17480,12360,3850.0
2020-02-10,3460,22040,9850,3270.0,16180,9800,9710.0,11090,9580,15220,40410,30640,19000.0,10110,3630,11570.0,8290,18610,8500,7320.0,7560,17280.0,46930,21850,70620.0,9700.0,13800,57830,25990,31100,33890,4150,8210,30123,11180,32580.0,63560,23560,4370,12360,16717,5820.0,30340,12720,17760,62800,30210,44380,8680,129000,22030,2220,15750,57000.0,5700.0,7890,34110,14810,24930.0,24670,55900,9234,21880.0,5300,51160,8330,52050,6780.0,9450,13570,8380,9774,101055,9720,89310,10950,76780,27310,87330,4550,17480,12320,3690.0
2020-02-11,3460,22310,10110,3340.0,16400,10330,9750.0,10750,9680,15180,40410,31030,18900.0,10000,3550,13150.0,8500,19160,8500,7320.0,7580,17350.0,47250,22150,68670.0,9780.0,13890,58030,26480,31400,35060,4290,8250,30178,11140,32659.0,63560,24040,4370,12430,16759,5920.0,29350,13140,18530,61920,30850,45410,8960,129000,22080,2220,15940,57000.0,5700.0,7700,34340,15230,24260.0,24740,55900,9405,21820.0,5300,51430,8280,52050,6910.0,9300,13570,8380,9896,100788,9720,88850,11350,75510,27270,85600,4650,17550,12390,3910.0
2020-02-12,3510,22780,10260,3380.0,16400,10540,10530.0,10840,9880,15460,40900,30160,18950.0,9950,3520,13150.0,8500,19700,8840,7470.0,7820,17350.0,47250,22650,68670.0,9700.0,14140,58160,26720,31250,35060,4430,8280,30290,11210,35860.0,63780,24400,4500,12760,15846,5990.0,31380,13270,18160,62220,31320,45500,9120,129199,22120,2260,16000,56910.0,5780.0,8230,35140,16250,24830.0,24930,56590,10064,21820.0,5390,51160,8460,52050,7080.0,9370,13610,8610,9976,99544,9600,87480,11550,75510,27740,86030,4750,17760,12320,3960.0
2020-02-13,3490,23260,10230,3340.0,16270,10370,10490.0,10790,9770,15790,40650,30480,18800.0,10550,3530,13150.0,8520,19340,9270,7420.0,7780,17280.0,47190,22600,68190.0,9700.0,14050,58090,26830,31450,34790,4430,8280,30345,11250,39430.0,63410,24430,4500,12640,16012,6240.0,32509,13060,18190,63300,31880,45840,9390,129199,22030,2350,16120,55730.0,5800.0,8230,34830,17360,25500.0,24870,56590,10064,22440.0,5390,51160,8360,52490,7020.0,9370,13430,8560,9936,99899,9770,89110,11500,75300,27610,83010,4770,17480,12290,3910.0
2020-02-14,3460,22880,10110,3350.0,16270,10450,10860.0,10790,9920,15390,40330,30320,18750.0,10640,3410,13150.0,8700,19250,9110,7380.0,7710,17280.0,47890,23300,70400.0,10150.0,13970,58090,26930,31750,34510,4430,8570,30178,11180,40920.0,64590,24680,4520,12940,16012,6300.0,31600,13200,17890,64019,31880,45840,9580,128600,22030,2300,16000,55730.0,5760.0,8170,34530,17450,24730.0,24670,56730,9921,22440.0,5300,50720,8460,52050,6950.0,9170,13460,8590,9936,97766,9770,88550,11600,75090,27470,82570,4840,17200,12220,3960.0
